N. do Processo,Assunto,Classe,Comarca,Promotoria de Justiça,Homologado pelo CSMP,Data,PDF,Movimentação
08.2020.00152740-0,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Campos Novos,3ª Promotoria de Justiça da Comarca de Campos Novos,-,12/7/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00152740-0
08.2020.00152863-2,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Campos Novos,3ª Promotoria de Justiça da Comarca de Campos Novos,-,03/11/2021,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00152863-2
08.2019.00169792-7,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Capital,31ª Promotoria de Justiça da Comarca da Capital,-,15/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2019.00169792-7.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00169792-7
08.2019.00178367-4,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Capital,31ª Promotoria de Justiça da Comarca da Capital,-,08/6/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00178367-4
08.2014.00195425-3,Improbidade Administrativa,Ação Civil de Improbidade Administrativa,Chapecó,10ª Promotoria de Justiça da Comarca de Chapecó,-,26/7/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00195425-3
08.2020.00049122-1,Dano ao Erário,Ação Civil de Improbidade Administrativa,Chapecó,10ª Promotoria de Justiça da Comarca de Chapecó,-,08/10/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2020.00049122-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00049122-1
08.2020.00071780-0,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Ipumirim,Promotoria de Justiça da Comarca de Ipumirim,-,25/1/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2020.00071780-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00071780-0
08.2014.00212851-0,Enriquecimento ilícito,Ação Civil de Improbidade Administrativa,Presidente Getúlio,Promotoria de Justiça da Comarca de Presidente Getúlio,-,03/8/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2014.00212851-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00212851-0
08.2021.00321490-0,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Trombudo Central,2ª Promotoria de Justiça da Comarca de Trombudo Central,-,30/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00321490-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00321490-0
08.2015.00084789-6,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil de Improbidade Administrativa,Urubici,Promotoria de Justiça da Comarca de Urubici,-,11/11/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2015.00084789-6.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2015.00084789-6
08.2021.00319644-0,-,Ação Civil Pública,Balneário Camboriú,5ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,15/12/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00319644-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00319644-0
08.2021.00484922-1,-,Ação Civil Pública,Balneário Camboriú,5ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,06/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00484922-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00484922-1
08.2021.00218900-9,Funcionamento de Estabelecimentos Empresariais,Ação Civil Pública,Balneário Camboriú,6ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,29/3/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00218900-9.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00218900-9
08.2022.00391192-9,-,Ação Civil Pública,Balneário Camboriú,6ª Promotoria de Justiça da Comarca de Balneário Camboriú,-,23/11/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00391192-9
08.2021.00247261-0,Dano Ambiental,Ação Civil Pública,Canoinhas,3ª Promotoria de Justiça da Comarca de Canoinhas,-,07/11/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00247261-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00247261-0
08.2019.00198375-7,Indenização por Dano Ambiental,Ação Civil Pública,Capital,28ª Promotoria de Justiça da Comarca da Capital,-,19/11/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2019.00198375-7.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00198375-7
08.2021.00261761-0,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",Ação Civil Pública,Capital,28ª Promotoria de Justiça da Comarca da Capital,-,22/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00261761-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00261761-0
08.2021.00066042-6,-,Ação Civil Pública,Capital,32ª Promotoria de Justiça da Comarca da Capital,-,12/8/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00066042-6.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00066042-6
08.2021.00410890-7,Dano Ambiental,Ação Civil Pública,Capital,32ª Promotoria de Justiça da Comarca da Capital,-,18/7/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00410890-7
08.2021.00441853-0,-,Ação Civil Pública,Chapecó,9ª Promotoria de Justiça da Comarca de Chapecó,-,24/3/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00441853-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00441853-0
08.2022.00024191-2,Flora,Ação Civil Pública,Chapecó,9ª Promotoria de Justiça da Comarca de Chapecó,-,13/5/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00024191-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00024191-2
08.2016.00379648-2,Água e/ou Esgoto,Ação Civil Pública,Coronel Freitas,Promotoria de Justiça da Comarca de Coronel Freitas,-,23/11/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2016.00379648-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2016.00379648-2
08.2022.00026703-5,-,Ação Civil Pública,Criciúma,7ª Promotoria de Justiça da Comarca de Criciúma,-,17/5/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00026703-5.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00026703-5
08.2019.00332890-8,Dano Ambiental,Ação Civil Pública,Fraiburgo,3ª Promotoria de Justiça da Comarca de Fraiburgo,-,17/6/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00332890-8
08.2014.00276911-5,Flora,Ação Civil Pública,Garopaba,1ª Promotoria de Justiça da Comarca de Garopaba,-,15/3/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2014.00276911-5.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00276911-5
08.2019.00265170-4,Dano Ambiental,Ação Civil Pública,Garopaba,1ª Promotoria de Justiça da Comarca de Garopaba,-,23/9/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2019.00265170-4.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00265170-4
08.2021.00055771-3,Ministério Público,Ação Civil Pública,Içara,1ª Promotoria de Justiça da Comarca de Içara,-,15/7/2021,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00055771-3
08.2014.00058404-1,Revogação/Concessão de Licença Ambiental,Ação Civil Pública,Içara,2ª Promotoria de Justiça da Comarca de Içara,-,31/3/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2014.00058404-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2014.00058404-1
08.2015.00230757-8,-,Ação Civil Pública,Indaial,1ª Promotoria de Justiça da Comarca de Indaial,-,28/4/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2015.00230757-8.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2015.00230757-8
08.2022.00124035-3,Dano Ambiental,Ação Civil Pública,Ituporanga,2ª Promotoria de Justiça da Comarca de Ituporanga,-,19/10/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00124035-3
08.2021.00296211-8,Patrimônio Histórico / Tombamento,Ação Civil Pública,Jaraguá do Sul,1ª Promotoria de Justiça da Comarca de Jaraguá do Sul,-,25/1/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00296211-8
08.2021.00205367-9,-,Ação Civil Pública,Jaraguá do Sul,7ª Promotoria de Justiça da Comarca de Jaraguá do Sul,-,29/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00205367-9.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00205367-9
08.2021.00381429-1,Dano Ambiental,Ação Civil Pública,Joaçaba,1ª Promotoria de Justiça da Comarca de Joaçaba,-,14/9/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00381429-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00381429-1
08.2016.00033654-1,Improbidade Administrativa - Violação aos Princípios Administrativos,Ação Civil Pública,Joaçaba,2ª Promotoria de Justiça da Comarca de Joaçaba,-,03/11/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2016.00033654-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2016.00033654-1
08.2016.00204450-9,Improbidade Administrativa,Ação Civil Pública,Joaçaba,2ª Promotoria de Justiça da Comarca de Joaçaba,-,23/11/2021,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2016.00204450-9
08.2017.00282162-9,Improbidade Administrativa,Ação Civil Pública,Joaçaba,2ª Promotoria de Justiça da Comarca de Joaçaba,-,23/11/2021,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2017.00282162-9
08.2017.00294806-0,Improbidade Administrativa,Ação Civil Pública,Joaçaba,2ª Promotoria de Justiça da Comarca de Joaçaba,-,03/5/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2017.00294806-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2017.00294806-0
08.2015.00250936-0,Flora,Ação Civil Pública,Joinville,14ª Promotoria de Justiça da Comarca de Joinville,-,28/4/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2015.00250936-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2015.00250936-0
08.2016.00222733-7,Flora,Ação Civil Pública,Joinville,21ª Promotoria de Justiça da Comarca de Joinville,-,10/8/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2016.00222733-7
08.2020.00062588-0,-,Ação Civil Pública,Navegantes,1ª Promotoria de Justiça da Comarca de Navegantes,-,05/8/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00062588-0
08.2015.00101134-0,-,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,30/3/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2015.00101134-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2015.00101134-0
08.2021.00118294-2,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,04/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00118294-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00118294-2
08.2021.00119097-5,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,02/8/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00119097-5.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00119097-5
08.2021.00120959-2,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,05/9/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00120959-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00120959-2
08.2021.00121461-8,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,02/8/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00121461-8.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00121461-8
08.2021.00121602-7,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,02/8/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00121602-7.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00121602-7
08.2021.00130306-2,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,02/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00130306-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00130306-2
08.2021.00130337-3,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,02/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00130337-3.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00130337-3
08.2021.00130397-3,Obrigação de Fazer / Não Fazer,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,02/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00130397-3.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00130397-3
08.2021.00248970-0,Dano Ambiental,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,07/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00248970-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00248970-0
08.2021.00350632-3,-,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,07/12/2021,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00350632-3
08.2021.00354928-9,-,Ação Civil Pública,Porto Belo,1ª Promotoria de Justiça da Comarca de Porto Belo,-,09/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00354928-9.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00354928-9
08.2019.00180918-1,Ordenação da Cidade / Plano Diretor,Ação Civil Pública,Santo Amaro da Imperatriz,1ª Promotoria de Justiça da Comarca de Santo Amaro da Imperatriz,-,11/4/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2019.00180918-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2019.00180918-1
08.2022.00143856-3,-,Ação Civil Pública,São Francisco do Sul,3ª Promotoria de Justiça da Comarca de São Francisco do Sul,-,18/11/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00143856-3.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00143856-3
08.2021.00229371-0,Fauna,Ação Civil Pública,São Lourenço do Oeste,2ª Promotoria de Justiça da Comarca de São Lourenço do Oeste,-,03/12/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00229371-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00229371-0
08.2018.00181967-5,Enriquecimento ilícito,Ação Civil Pública,Urubici,Promotoria de Justiça da Comarca de Urubici,-,23/11/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2018.00181967-5.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2018.00181967-5
08.2021.00439490-9,Internação involuntária,Ação Civil Pública,Urussanga,1ª Promotoria de Justiça da Comarca de Urussanga,-,17/4/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00439490-9.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00439490-9
08.2015.00155772-2,-,Ação Civil Pública,Urussanga,3ª Promotoria de Justiça da Comarca de Urussanga,-,01/12/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2015.00155772-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2015.00155772-2
08.2022.00115474-0,Revogação/Concessão de Licença Ambiental,Ação Civil Pública,Urussanga,3ª Promotoria de Justiça da Comarca de Urussanga,-,16/9/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00115474-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00115474-0
08.2013.00162606-2,Crimes contra o Meio Ambiente e o Patrimônio Genético,Ação Civil Pública,Videira,2ª Promotoria de Justiça da Comarca de Videira,-,01/12/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2013.00162606-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2013.00162606-2
08.2021.00042291-6,-,Ação Civil Pública,Videira,2ª Promotoria de Justiça da Comarca de Videira,-,15/9/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00042291-6
08.2022.00082844-6,Estupro de Vulnerável com Resultado Lesão Corporal,Ação Penal - Procedimento Sumário,Jaraguá do Sul,5ª Promotoria de Justiça da Comarca de Jaraguá do Sul,-,14/9/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00082844-6
08.2022.00323946-0,Contra a Mulher,Ação Penal - Procedimento Sumário,Jaraguá do Sul,5ª Promotoria de Justiça da Comarca de Jaraguá do Sul,-,28/9/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00323946-0
08.2013.00097578-1,Crimes de Trânsito,Ação Penal - Procedimento Sumário,Jaraguá do Sul,8ª Promotoria de Justiça da Comarca de Jaraguá do Sul,-,15/9/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2013.00097578-1
08.2022.00062226-9,-,Ação Penal - Procedimento Sumaríssimo,Gaspar,3ª Promotoria de Justiça da Comarca de Gaspar,-,31/8/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00062226-9
08.2022.00354570-9,Dano Ambiental,Cumprimento de sentença,Chapecó,9ª Promotoria de Justiça da Comarca de Chapecó,-,10/2/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00354570-9.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00354570-9
08.2022.00074297-3,MEIO AMBIENTE,Cumprimento de sentença,Ibirama,1ª Promotoria de Justiça da Comarca de Ibirama,-,15/3/2022,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00074297-3
08.2022.00011150-0,Ordenação da Cidade / Plano Diretor,Cumprimento de Sentença contra a Fazenda Pública,Capital,28ª Promotoria de Justiça da Comarca da Capital,-,17/2/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2022.00011150-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2022.00011150-0
08.2020.00136739-7,-,Cumprimento de Sentença contra a Fazenda Pública,Joinville,14ª Promotoria de Justiça da Comarca de Joinville,-,23/1/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2020.00136739-7.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00136739-7
08.2021.00167329-4,-,Cumprimento Provisório de Decisão,Capital,32ª Promotoria de Justiça da Comarca da Capital,-,14/9/2022,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2021.00167329-4.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2021.00167329-4
08.2020.00238833-3,-,Execução de Título Extrajudicial contra a Fazenda Pública,Urussanga,1ª Promotoria de Justiça da Comarca de Urussanga,-,13/9/2021,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/08.2020.00238833-3.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=08.2020.00238833-3
06.2012.00001120-0,Crimes contra a Fauna,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,Sim,11/2/2019,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/06.2012.00001120-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2012.00001120-0
06.2012.00004215-8,Improbidade Administrativa - Violação aos Princípios Administrativos,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,Sim,08/5/2018,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/06.2012.00004215-8.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2012.00004215-8
06.2013.00009509-3,Dano ao Erário,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,Sim,26/9/2018,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2013.00009509-3
06.2013.00013904-3,-,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,Sim,08/5/2018,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2013.00013904-3
06.2014.00011400-1,-,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,Sim,08/5/2018,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/06.2014.00011400-1.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2014.00011400-1
06.2016.00008270-0,Improbidade Administrativa - Violação aos Princípios Administrativos,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,-,21/5/2020,-,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2016.00008270-0
06.2016.00008387-6,Abuso de poder,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,-,13/4/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/06.2016.00008387-6.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2016.00008387-6
06.2016.00008391-0,Abuso de poder,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,-,17/4/2023,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/06.2016.00008391-0.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2016.00008391-0
06.2017.00007116-2,Inspeção Sanitária de Origem Animal,Inquérito Civil,Abelardo Luz,Promotoria de Justiça da Comarca de Abelardo Luz,Sim,13/3/2018,C:\Users\arthu\OneDrive\Documentos\UFSC - 7º Semestre\Tópicos Especiais em Gerência de Dados\Check if possible\PDFs/06.2017.00007116-2.pdf,https://mpsc.mp.br/consulta-processos-numero?nuProcesso=06.2017.00007116-2
